Point0	,0.00	,0.00	,Fixed
Point1	,90.00	,0.00	,Fixed
Point2	,20	,20	,noFixedFixed
Point3	,0	,10	,noFixedFixed
Point4	,30	,20	,noFixedFixed
Next_table	
Point0	,Red	,10	,Red
Point1	,Green	,10	,Green
Point2	,Green	,5	,Green
Point3	,Green	,5	,Green
Point4	,Green	,5	,Green
Next_table	
Line0	,Point0	,Point3	,35.00
Line1	,Point1	,Point4	,70.00
Next_table	
Chain0	,Point2	,Point3	,Point4	,40.00	,70.00	,40.00
Next_table	
Shaft0	,Point0	,Point3	,0.00°	,360.00°		,70.07°
Next_table	
Next_table	
